gambol:	gamboling	gambolling
ganglion:	ganglia	ganglions
gannet:	gannet	gannets
gas:	gases	gasses
gastritis:	gastritides	gastritises
gavel:	gaveled	gavelled
gavel:	gaveling	gavelling
gazabo:	gazaboes	gazabos
gazebo:	gazeboes	gazebos
gecko:	geckoes	geckos
geisha:	geisha	geishas
geld:	gelded	gelt
gemsbuck:	gemsbuck	gemsbucks
gentlefolk:	gentlefolk	gentlefolks
genus:	genera	genuses
get:	got	gotten
gherao:	gheraoes	gheraos
ghetto:	ghettoes	ghettos
gild:	gilded	gilt
gimbal:	gimbaled	gimballed
gimbal:	gimbaling	gimballing
gingko:	gingkoes	gingkos
ginkgo:	ginkgoes	ginkgos
ginzo:	ginzoes	ginzos
gird:	girded	girt
gladiolus:	gladioli	gladiolus	gladioluses
glissando:	glissandi	glissandos
glottis:	glottides	glottises
glue:	glueing	gluing
gnaw:	gnawed	gnawn
goat:	goat	goats
gobo:	goboes	gobos
gospel:	gospeled	gospelled
gospel:	gospeling	gospelling
gossip:	gossiped	gossipped
gossip:	gossiping	gossipping
grapefruit:	grapefruit	grapefruits
gravamen:	gravamens	gravamina
grave:	graved	graven
gravel:	graveled	gravelled
gravel:	graveling	gravelling
greenlight:	greenlighted	greenlit
grotto:	grottoes	grottos
grouse:	grouse	grouses
grovel:	groveled	grovelled
grovel:	groveling	grovelling
gruel:	grueled	gruelled
gruel:	grueling	gruelling
gruelling:	gruelling	gruellings
guacharo:	guacharoes	guacharos
guarani:	guarani	guaranies	guaranis
gulden:	gulden	guldens
gymnasium:	gymnasia	gymnasiums
halo:	haloes	halos
handful:	handfuls	handsful
handkerchief:	handkerchiefs	handkerchieves
handsel:	handseled	handselled
handsel:	handseling	handselling
handwrite:	handwrit	handwritten
hansel:	hanseled	hanselled
hansel:	hanseling	hanselling
hatchel:	hatcheled	hatchelled
hatchel:	hatcheling	hatchelling
hawbuck:	hawbuck	hawbucks
heathen:	heathen	heathens
helix:	helices	helixes
hernia:	herniae	hernias
hero:	heroes	heros
hertz:	hertz	hertzes
hew:	hewed	hewn
hiatus:	hiatus	hiatuses
hiccup:	hiccuped	hiccupped
hiccup:	hiccuping	hiccupping
hide:	hid	hidden
hie:	hieing	hying
hillfolk:	hillfolk	hillfolks
hillo:	hilloes	hillos
hippopotamus:	hippopotami	hippopotamuses
hirsel:	hirseled	hirselled
hirsel:	hirseling	hirselling
hobo:	hoboes	hobos
hogtie:	hogtieing	hogtying
hollo:	holloes	hollos
honey:	honeyed	honied
honorarium:	honoraria	honorariums
hoof:	hoofs	hooves
hostel:	hosteled	hostelled
hostel:	hosteling	hostelling
housel:	houseled	houselled
housel:	houseling	houselling
houselling:	houselling	housellings
hovel:	hoveled	hovelled
hovel:	hoveling	hovelling
hydra:	hydrae	hydras
hydrocephalus:	hydrocephali	hydrocephaluses
hydrothorax:	hydrothoraces	hydrothoraxes
hyperbola:	hyperbolae	hyperbolas
hypopharynx:	hypopharynges	hypopharynxes
iambus:	iambi	iambuses
ibex:	ibexes	ibices
ictus:	ictus	ictuses
ignaro:	ignaroes	ignaros
imago:	imagines	imagoes
impanel:	impaneled	impanelled
impanel:	impaneling	impanelling
impatiens:	impatiens	impatienses
imperil:	imperiled	imperilled
imperil:	imperiling	imperilling
incubus:	incubi	incubuses
index:	indexes	indices
indigo:	indigoes	indigos
indwell:	indwelled	indwelt
initial:	initialed	initialled
initial:	initialing	initialling
innuendo:	innuendoes	innuendos
input:	input	inputted
inset:	inset	insetted
intaglio:	intagli	intaglios
intermezzo:	intermezzi	intermezzos
interplead:	interpleaded	interpled
interregnum:	interregna	interregnums
interweave:	interweaved	interwove	interwoven
interwork:	interworked	interwrought
iris:	irides	irises
isthmus:	isthmi	isthmuses
jacklight:	jacklighted	jacklit
jejunum:	jejuna	jejunums
jewel:	jeweled	jewelled
jewel:	jeweling	jewelling
jigsaw:	jigsawed	jigsawn
jinni:	jinn	jinnis
journal:	journaled	journalled
journal:	journaling	journalling
junco:	juncoes	juncos
kennel:	kenneled	kennelled
kennel:	kenneling	kennelling
kerchief:	kerchiefs	kerchieves
kernel:	kerneled	kernelled
kernel:	kerneling	kernelling
kiddo:	kiddoes	kiddos
kidnap:	kidnaped	kidnapped
kidnap:	kidnaping	kidnapping
kielbasa:	kielbasas	kielbasi	kielbasy
killdeer:	killdeer	killdeers
kilobaud:	kilobaud	kilobauds
kilohertz:	kilohertz	kilohertzes
kinfolk:	kinfolk	kinfolks
kinsfolk:	kinsfolk	kinsfolks
kip:	kip	kips
kneel:	kneeled	knelt
kuchen:	kuchen	kuchens
label:	labeled	labelled
label:	labeling	labelling
lac:	laced	lacked
lac:	lacing	lacking
lacuna:	lacunae	lacunas
lade:	laded	laden
lamina:	laminae	laminas
landslide:	landslid	landslidden
larva:	larvae	larvas
larynx:	larynges	larynxes
lasso:	lassoes	lassos
lateral:	lateraled	lateralled
lateral:	lateraling	lateralling
latex:	latexes	latices
lath:	lath	laths
latigo:	latigoes	latigos
laurel:	laureled	laurelled
laurel:	laureling	laurelling
lavabo:	lavaboes	lavabos
layperson:	laypeople	laypersons
leaflet:	leafleted	leafletted
leaflet:	leafleting	leafletting
lean:	leaned	leant
leap:	leaped	leapt	lept
learn:	learned	learnt
level:	leveled	levelled
level:	leveling	levelling
lexicon:	lexica	lexicons
libel:	libeled	libelled
libel:	libeling	libelling
libretto:	libretti	librettos
light:	lighted	lit
lingo:	lingoes	lingos
linguine:	linguine	linguines
linguini:	linguini	linguinis
lira:	liras	lire
little:	least	littlest
little:	less	lesser	littler
local:	localed	localled
local:	localing	localling
longe:	longeing	longing
looney:	looneys	loonies
loris:	loris	lorises
lowlife:	lowlifes	lowlives
lox:	lox	loxes
loyal:	loyaler	loyaller
loyal:	loyalest	loyallest
luge:	lugeing	luging
lymphoma:	lymphomas	lymphomata
macaroni:	macaronies	macaronis
macrame:	macramed	macrameed
macronucleus:	macronuclei	macronucleuses
mademoiselle:	mademoiselles	mesdemoiselles
maestro:	maestri	maestros
mafioso:	mafiosi	mafiosos
magnifico:	magnificoes	magnificos
mango:	mangoes	mangos
manifesto:	manifestoes	manifestos
mantis:	mantes	mantises
markka:	markkaa	markkas
marquis:	marquis	marquises
marshal:	marshaled	marshalled
marshal:	marshaling	marshalling
marshalling:	marshalling	marshallings
marvel:	marveled	marvelled
marvel:	marveling	marvelling
matrix:	matrices	matrixes
